"department_id","aisle_id","product_id","product_name","aisle","department"
"19","61","1","Chocolate Sandwich Cookies","cookies cakes","snacks"
"13","104","2","All-Seasons Salt","spices seasonings","pantry"
"7","94","3","Robust Golden Unsweetened Oolong Tea","tea","beverages"
"1","116","8","Cut Russet Potatoes Steam N' Mash","frozen produce","frozen"
"16","120","9","Light Strawberry Blueberry Yogurt","yogurt","dairy eggs"
"7","115","10","Sparkling Orange Juice & Prickly Pear Beverage","water seltzer sparkling water","beverages"
"7","31","11","Peach Mango Juice","refrigerated","beverages"
"1","119","12","Chocolate Fudge Layer Cake","frozen dessert","frozen"
"11","11","13","Saline Nasal Mist","cold flu allergy","personal care"
"17","74","14","Fresh Scent Dishwasher Cleaner","dish detergents","household"
"18","56","15","Overnight Diapers Size 6","diapers wipes","babies"
"19","103","16","Mint Chocolate Flavored Syrup","ice cream toppings","snacks"
"12","35","17","Rendered Duck Fat","poultry counter","meat seafood"
"1","79","18","Pizza for One Suprema  Frozen Pizza","frozen pizza","frozen"
"9","63","19","Gluten Free Quinoa Three Cheese & Mushroom Blend","grains rice dried goods","dry goods pasta"
"7","98","20","Pomegranate Cranberry & Aloe Vera Enrich Drink","juice nectars","beverages"
"8","40","21","Small & Medium Dental Dog Treats","dog food care","pets"
"11","20","22","Fresh Breath Oral Rinse Mild Mint","oral hygiene","personal care"
"12","49","23","Organic Turkey Burgers","packaged poultry","meat seafood"
"11","47","24","Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants","vitamins supplements","personal care"
"19","3","25","Salted Caramel Lean Protein & Fiber Bar","energy granola bars","snacks"
"8","41","26","Fancy Feast Trout Feast Flaked Wet Cat Food","cat food care","pets"
"11","127","27","Complete Spring Water Foaming Antibacterial Hand Wash","body lotions soap","personal care"
"14","121","28","Wheat Chex Cereal","cereal","breakfast"
"15","81","29","Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn","canned jarred vegetables","canned goods"
"1","38","30","Three Cheese Ziti, Marinara with Meatballs","frozen meals","frozen"
"4","123","31","White Pearl Onions","packaged vegetables fruits","produce"
"19","107","32","Nacho Cheese White Bean Chips","chips pretzels","snacks"
"9","131","33","Organic Spaghetti Style Pasta","dry pasta","dry goods pasta"
"14","121","34","Peanut Butter Cereal","cereal","breakfast"
"12","106","35","Italian Herb Porcini Mushrooms Chicken Sausage","hot dogs bacon sausage","meat seafood"
"1","38","36","Traditional Lasagna with Meat Sauce Savory Italian Recipes","frozen meals","frozen"
"15","69","37","Noodle Soup Mix With Chicken Broth","soup broth bouillon","canned goods"
"21","100","38","Ultra Antibacterial Dish Liquid","missing","missing"
"7","64","39","Daily Tangerine Citrus Flavored Beverage","energy sports drinks","beverages"
"12","106","40","Beef Hot Links Beef Smoked Sausage With Chile Peppers","hot dogs bacon sausage","meat seafood"
"19","78","41","Organic Sourdough Einkorn Crackers Rosemary","crackers","snacks"
"11","47","42","Biotin 1000 mcg","vitamins supplements","personal care"
"4","123","43","Organic Clementines","packaged vegetables fruits","produce"
"7","115","44","Sparkling Raspberry Seltzer","water seltzer sparkling water","beverages"
"4","83","45","European Cucumber","fresh vegetables","produce"
"1","58","46","Raisin Cinnamon Bagels 5 count","frozen breads doughs","frozen"
"6","66","47","Onion Flavor Organic Roasted Seaweed Snack","asian foods","international"
"17","87","48","School Glue, Washable, No Run","more household","household"
"20","14","49","Vegetarian Grain Meat Sausages Italian - 4 CT","tofu meat alternatives","deli"
"13","105","50","Pumpkin Muffin Mix","doughs gelatins bake mixes","pantry"
"11","22","51","Sa Extra Hold Mousse Hair Styling","hair care","personal care"
"5","134","52","Mirabelle Brut Rose","specialty wines champagnes","alcohol"
"7","98","53","Whole Leaf Pure Aloe With Lemon Juice","juice nectars","beverages"
"8","41","54","24/7 Performance Cat Litter","cat food care","pets"
"11","22","55","Lasting Color Shampoo","hair care","personal care"
"19","23","56","Healthy Pop Butter Popcorn","popcorn jerky","snacks"
"17","111","57","Flat Toothpicks","plates bowls cups flatware","household"
"3","128","58","Whole Wheat Tortillas","tortillas flat bread","bakery"
"19","50","59","Medium Taqueria Style Chipotle Salsa","fruit vegetable snacks","snacks"
